,Country,Response ID,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,None,Total_Checked,Number of Terms,Most_Common_Term,Most_Common_Value,MCV_formatted,Least_Common_Term,Least_Common_Value,LCV_formatted,Count
0,Afghanistan,105896.8,0.07,0.47,0.0,0.13,0.2,0.13,0.07,0.33,0.27,0.07,1.73,1.67,Connected Devices,0.47,46.67,Botnet,0.0,0.0,15
1,Albania,107157.88,0.21,0.68,0.21,0.18,0.13,0.22,0.16,0.5,0.22,0.09,2.59,2.5,Connected Devices,0.68,67.65,RFID,0.13,13.24,68
2,Algeria,99974.02,0.09,0.41,0.1,0.07,0.07,0.12,0.09,0.31,0.16,0.12,1.55,1.43,Connected Devices,0.41,40.97,RFID,0.07,6.84,1114
5,Angola,140057.1,0.07,0.45,0.07,0.03,0.07,0.07,0.03,0.28,0.14,0.14,1.34,1.21,Connected Devices,0.45,44.83,Blockchain,0.03,3.45,29
7,Anonymous Proxy,82349.63,0.58,0.84,0.63,0.47,0.63,0.71,0.53,0.84,0.84,0.03,6.11,6.08,Connected Devices,0.84,84.21,Blockchain,0.47,47.37,38
9,Argentina,96867.88,0.2,0.73,0.2,0.13,0.13,0.31,0.18,0.49,0.34,0.17,2.88,2.71,Connected Devices,0.73,72.76,Blockchain,0.13,12.84,3262
13,Australia,75358.41,0.3,0.78,0.3,0.21,0.36,0.35,0.21,0.62,0.35,0.15,3.62,3.48,Connected Devices,0.78,77.55,Blockchain,0.21,21.02,2455
14,Austria,104061.05,0.32,0.77,0.4,0.25,0.35,0.42,0.25,0.61,0.5,0.11,3.99,3.88,Connected Devices,0.77,76.67,Zero Day,0.25,24.95,2155
17,Bahrain,108186.9,0.3,0.7,0.25,0.15,0.25,0.25,0.25,0.65,0.45,0.1,3.35,3.25,Connected Devices,0.7,70.0,Blockchain,0.15,15.0,20
18,Bangladesh,107375.86,0.13,0.33,0.08,0.05,0.07,0.09,0.06,0.25,0.15,0.07,1.28,1.21,Connected Devices,0.33,32.66,Blockchain,0.05,5.14,840
20,Belarus,79359.15,0.65,0.69,0.73,0.58,0.5,0.92,0.5,0.92,0.81,0.08,6.38,6.31,DDOS,0.92,92.31,RFID,0.5,50.0,26
21,Belgium,88452.8,0.2,0.78,0.27,0.17,0.25,0.35,0.18,0.55,0.41,0.13,3.29,3.16,Connected Devices,0.78,77.8,Blockchain,0.17,17.07,2537
23,Benin,103002.13,0.15,0.69,0.21,0.13,0.07,0.21,0.16,0.44,0.19,0.08,2.33,2.25,Connected Devices,0.69,68.54,RFID,0.07,6.74,90
